,ages,list_price,num_reviews,piece_count,play_star_rating,prod_desc,prod_id,review_difficulty,set_name,star_rating,theme_name,val_star_rating,country,height,width,length
9568,4-7,12.987000000000002,16.82623813551358,73.0,4.337640663742107,7,10750.0,0.16760459995106436,Road Repair Truck,0.13212625397602154,Juniors,0.14639915178207324,NO,2,1,7
9569,5-12,12.987000000000002,40.0,2.0,4.1,5,7281.0,Very Easy,T-Junction & Curved Road Plates,3.9,City,2.8,NO,0.1578174700269146,0.1864448250550526,0.1846505179022918
9570,5-12,12.987000000000002,2.0,88.0,4.337640663742107,8,60171.0,0.16760459995106436,Mountain Fugitives,5.0,City,0.14639915178207324,NO,1,1,2
9571,5-12,12.987000000000002,2.0,82.0,4.5,8,60184.0,Very Easy,Mining Team,5.0,City,4.0,NO,1,1,2
9572,5-12,12.987000000000002,1.0,78.0,4.0,10,60178.0,Easy,Speed Record Car,5.0,City,4.0,NO,2,3,8
9573,5-12,7.787000000000001,2.0,37.0,4.5,9,60170.0,Very Easy,Off-Road Chase,4.5,City,5.0,NO,1,1,2
9574,5-12,7.787000000000001,5.0,53.0,3.8,10,60156.0,Easy,Jungle Buggy,3.6,City,4.2,NO,1,1,3
9575,4-99,51.87000000000001,2.0,900.0,3.5,7,10704.0,0.16760459995106436,Creative Box,4.5,Classic,4.5,NO,0.1578174700269146,0.1864448250550526,0.1846505179022918
9576,4-99,45.37000000000001,11.0,484.0,4.6,8,10696.0,Easy,LEGO® Medium Creative Brick Box,4.6,Classic,4.7,NO,0.1578174700269146,0.1864448250550526,0.1846505179022918
9577,4-99,38.987,2.0,502.0,5.0,7,10703.0,Average,Creative Builder Box,4.0,Classic,4.0,NO,0.1578174700269146,0.1864448250550526,0.1846505179022918
9578,4-99,38.987,16.82623813551358,442.0,4.337640663742107,10,10715.0,0.16760459995106436,Bricks on a Roll,0.13212625397602154,Classic,0.14639915178207324,NO,0.1578174700269146,0.1864448250550526,0.1846505179022918
9579,4-99,29.887,2.0,213.0,5.0,12,10713.0,Very Easy,Creative Suitcase,5.0,Classic,5.0,NO,10,11,2
9580,4-99,29.887,8.0,303.0,4.8,7,10693.0,Easy,LEGO® Creative Supplement,4.9,Classic,4.9,NO,0.1578174700269146,0.1864448250550526,0.1846505179022918
9581,4-99,22.087,7.0,221.0,4.3,10,10692.0,Easy,LEGO® Creative Bricks,4.1,Classic,4.3,NO,0.1578174700269146,0.1864448250550526,0.1846505179022918
9582,4-99,19.487000000000002,24.0,1.0,4.3,12,10701.0,Very Easy,Gray Baseplate,4.1,Classic,3.5,NO,0.1578174700269146,0.1864448250550526,0.1846505179022918
9583,4-99,10.387,46.0,1.0,3.2,12,10700.0,Very Easy,Green Baseplate,2.6,Classic,2.5,NO,0.1578174700269146,0.1864448250550526,0.1846505179022918
9584,4-99,10.387,6.0,1.0,4.7,9,10714.0,Very Easy,Blue Baseplate,4.7,Classic,4.3,NO,0.1578174700269146,0.1864448250550526,0.1846505179022918
9585,4-99,6.487,8.0,78.0,4.6,9,10706.0,Very Easy,Blue Creativity Box,4.8,Classic,5.0,NO,0.1578174700269146,0.1864448250550526,0.1846505179022918
9586,4-99,6.487,5.0,66.0,4.5,9,10708.0,Easy,Green Creativity Box,4.8,Classic,4.5,NO,0.1578174700269146,0.1864448250550526,0.1846505179022918
9587,4-99,6.487,4.0,55.0,4.3,9,10707.0,Average,Red Creativity Box,4.5,Classic,4.3,NO,0.1578174700269146,0.1864448250550526,0.1846505179022918
9588,4-99,6.487,3.0,60.0,2.7,9,10709.0,Easy,Orange Creativity Box,4.7,Classic,5.0,NO,0.1578174700269146,0.1864448250550526,0.1846505179022918
9589,4+,3.12,180.0,1.0,4.0,3,630.0,Very Easy,Brick Separator,4.8,Classic,4.6,NO,0.1578174700269146,0.1864448250550526,0.1846505179022918
9590,4-99,64.87,4.0,790.0,5.0,11,10698.0,Easy,LEGO® Large Creative Brick Box,5.0,Classic,5.0,NO,0.1578174700269146,0.1864448250550526,0.1846505179022918
9591,8-12,90.87,11.0,728.0,3.2,8,31069.0,Average,Modular Family Villa,3.4,Creator 3-in-1,3.2,NO,8,14,5
9592,9-14,90.87,23.0,792.0,4.7,9,31052.0,Average,Vacation Getaways,4.9,Creator 3-in-1,4.3,NO,3,3,14
9593,9-12,77.87,14.0,670.0,4.2,11,31070.0,Average,Turbo Track Racer,4.5,Creator 3-in-1,4.3,NO,2,4,8
9594,8-12,58.37000000000001,4.0,422.0,4.0,9,31081.0,Average,Modular Skate House,4.8,Creator 3-in-1,4.3,NO,6,9,5
9595,8-12,51.87000000000001,10.0,386.0,3.2,8,31068.0,Average,Modular Modern Home,3.8,Creator 3-in-1,3.9,NO,6,5,3
9596,8-12,45.37000000000001,5.0,379.0,4.0,10,31079.0,Easy,Sunshine Surfer Van,4.4,Creator 3-in-1,4.2,NO,3,3,9
9597,7-12,45.37000000000001,2.0,374.0,4.0,10,31080.0,Easy,Modular Winter Vacation,3.5,Creator 3-in-1,4.0,NO,5,21,7
9598,7-12,45.37000000000001,13.0,285.0,4.3,9,31066.0,Easy,Space Shuttle Explorer,4.2,Creator 3-in-1,4.4,NO,3,7,10
9599,7-12,38.987,8.0,356.0,4.0,8,31067.0,Average,Modular Poolside Holiday,4.6,Creator 3-in-1,4.9,NO,4,7,5
9600,7-12,29.887,1.0,200.0,5.0,10,31076.0,Average,Daredevil Stunt Plane,5.0,Creator 3-in-1,5.0,NO,3,6,5
9601,7-12,29.887,1.0,225.0,5.0,10,31075.0,Easy,Outback Adventures,4.0,Creator 3-in-1,4.0,NO,3,3,5
9602,7-12,29.887,2.0,241.0,4.5,12,31074.0,Easy,Rocket Rally Car,5.0,Creator 3-in-1,5.0,NO,2,3,6
9603,7-12,25.987,9.0,205.0,4.5,8,31062.0,Average,Robo Explorer,4.8,Creator 3-in-1,4.3,NO,0.1578174700269146,0.1864448250550526,0.1846505179022918
9604,7-12,22.087,27.0,174.0,4.5,8,31058.0,Easy,Mighty Dinosaurs,4.7,Creator 3-in-1,4.7,NO,1,9,7
9605,7-12,22.087,5.0,223.0,4.7,8,31073.0,Easy,Mythical Creatures,4.4,Creator 3-in-1,5.0,NO,3,6,10
9606,6-12,12.987000000000002,6.0,122.0,4.5,10,31056.0,Easy,Green Cruiser,4.5,Creator 3-in-1,4.7,NO,1,2,4
9607,6-12,12.987000000000002,1.0,102.0,4.0,8,31057.0,Easy,Air Blazer,4.0,Creator 3-in-1,4.0,NO,1,6,8
9608,6-12,12.987000000000002,1.0,109.0,5.0,11,31071.0,Average,Drone Explorer,5.0,Creator 3-in-1,5.0,NO,2,5,4
9609,6-12,12.987000000000002,16.82623813551358,109.0,4.337640663742107,10,31072.0,0.16760459995106436,Extreme Engines,0.13212625397602154,Creator 3-in-1,0.14639915178207324,NO,1,2,5
9610,16+,233.87,62.0,2480.0,4.4,9,10260.0,Challenging,Downtown Diner,4.6,Creator Expert,4.3,NO,13,9,9
9611,16+,454.87,43.0,5923.0,3.9,8,10256.0,Challenging,Taj Mahal,4.8,Creator Expert,4.5,NO,16,20,20
9612,16+,389.87,228.0,4295.0,4.2,5,10214.0,Challenging,Tower Bridge,4.8,Creator Expert,4.6,NO,0.1578174700269146,0.1864448250550526,0.1846505179022918
9613,16+,324.87,99.0,4002.0,4.7,10,10255.0,Challenging,Assembly Square,4.8,Creator Expert,4.5,NO,13,14,9
9614,16+,324.87,64.0,4163.0,3.7,6,10253.0,Challenging,Big Ben,4.6,Creator Expert,4.6,NO,23,17,7
9615,16+,259.87,53.0,2670.0,4.2,8,10257.0,Challenging,Carousel,4.4,Creator Expert,4.2,NO,12,14,13
9616,16+,259.87,91.0,2464.0,4.9,7,10247.0,Challenging,Ferris Wheel,4.9,Creator Expert,4.7,NO,23,21,14
9617,16+,220.87,202.0,2469.0,4.7,9,10243.0,Challenging,Parisian Restaurant,4.9,Creator Expert,4.7,NO,11,9,9
9618,16+,220.87,177.0,2262.0,4.4,9,10246.0,Challenging,Detective’s Office,4.6,Creator Expert,4.4,NO,10,9,9
9619,16+,220.87,115.0,2382.0,4.5,8,10251.0,Challenging,Brick Bank,4.7,Creator Expert,4.2,NO,10,10,10
9620,16+,168.87,53.0,1686.0,4.1,5,10258.0,Average,London Bus,4.6,Creator Expert,4.3,NO,7,5,13
9621,16+,142.87,337.0,1334.0,4.3,16,10220.0,Challenging,Volkswagen T1 Camper Van,4.7,Creator Expert,4.5,NO,5,0.1864448250550526,8
9622,16+,142.87,66.0,1167.0,4.5,8,10252.0,Average,Volkswagen Beetle,4.9,Creator Expert,4.7,NO,5,4,11
9623,16+,129.87,134.0,1077.0,4.4,11,10242.0,Average,MINI Cooper,4.7,Creator Expert,4.5,NO,4,5,9
9624,12+,103.87,142.0,898.0,3.9,9,10249.0,Average,Winter Toy Shop,3.8,Creator Expert,3.7,NO,6,7,3
9625,14+,389.87,19.0,3444.0,4.9,6,70922.0,Challenging,The Joker™ Manor,5.0,THE LEGO® BATMAN MOVIE,4.9,NO,21,25,10
9626,9-14,181.87,13.0,955.0,4.1,7,76087.0,Average,Flying Fox: Batmobile Airlift Attack,3.7,DC Comics™ Super Heroes,3.0,NO,5,14,13
9627,7-14,77.87,6.0,622.0,5.0,8,76086.0,Average,Knightcrawler Tunnel Attack,5.0,DC Comics™ Super Heroes,4.8,NO,3,7,8
9628,7-14,77.87,5.0,425.0,3.2,5,70921.0,Average,Harley Quinn™ Cannonball Attack,3.2,THE LEGO® BATMAN MOVIE,2.6,NO,4,3,7
9629,7-14,58.37000000000001,5.0,406.0,5.0,9,76097.0,Average,Lex Luthor™ Mech Takedown,4.8,DC Comics™ Super Heroes,4.8,NO,7,4,1
9630,7-14,58.37000000000001,12.0,293.0,4.9,7,70920.0,Average,Egghead™ Mech Food Fight,4.8,THE LEGO® BATMAN MOVIE,4.6,NO,6,7,5
9631,6-12,51.87000000000001,6.0,271.0,4.5,8,76098.0,Easy,Speed Force Freeze Pursuit,4.8,DC Comics™ Super Heroes,4.5,NO,3,4,10
9632,7-14,51.87000000000001,5.0,267.0,3.6,6,70919.0,Easy,The Justice League™ Anniversary Party,3.2,THE LEGO® BATMAN MOVIE,3.4,NO,4,9,5
9633,4-7,45.37000000000001,1.0,151.0,5.0,9,10753.0,Easy,The Joker™ Batcave Attack,5.0,Juniors,5.0,NO,5,6,3
9634,6-12,38.987,9.0,197.0,3.9,9,76085.0,Easy,Battle of Atlantis,4.2,DC Comics™ Super Heroes,3.9,NO,5,6,2
9635,7-14,38.987,2.0,198.0,4.0,8,70918.0,0.16760459995106436,The Bat-Dune Buggy,4.5,THE LEGO® BATMAN MOVIE,4.0,NO,2,3,4
9636,6-12,38.987,1.0,199.0,5.0,8,76096.0,Average,Superman™ & Krypto™ Team-Up,5.0,DC Comics™ Super Heroes,5.0,NO,3,4,7
